Niche x MostPop;Niche x BPR;Niche x MF;Niche x PFM;Niche x NMF;Niche x WMF;Niche x PF;Niche x NeuMF;Niche x VAECF;Diverse x MostPop;Diverse x BPR;Diverse x MF;Diverse x PFM;Diverse x NMF;Diverse x WMF;Diverse x PF;Diverse x NeuMF;Diverse x VAECF;BestSeller x MostPop;BestSeller x BPR;BestSeller x MF;BestSeller x PFM;BestSeller x NMF;BestSeller x WMF;BestSeller x PF;BestSeller x NeuMF;BestSeller x VAECF
2,783;6,7712;1,2754;1,527;2,3132;6,127;6,8119;6,8139;6,8139;2,492;6,5882;1,3005;1,4242;2,1915;5,6899;6,715;6,7316;6,7316;2,2878;6,4793;1,3022;1,4068;2,1741;5,4596;6,7388;6,752;6,752
2,7644;6,7177;1,2396;1,4696;2,2434;6,0572;6,7621;6,7645;6,7645;2,4753;6,6143;1,3175;1,4185;2,2248;5,6815;6,7467;6,757;6,757;2,2689;6,5627;1,2844;1,4149;2,2042;5,5277;6,8239;6,8301;6,8301
2,7125;6,6747;1,2756;1,3868;2,21;6,0568;6,7242;6,7278;6,7278;2,4928;6,6096;1,3276;1,3691;2,2162;5,6943;6,7366;6,7499;6,7499;2,3003;6,4917;1,2767;1,3383;2,1784;5,4805;6,7335;6,7446;6,7446
2,84;6,7268;1,2876;1,5214;2,2761;6,0846;6,7634;6,7645;6,7645;2,4918;6,5673;1,2962;1,4067;2,1989;5,6538;6,6924;6,7058;6,7058;2,2462;6,5084;1,2875;1,3866;2,1739;5,4622;6,7665;6,7732;6,7732
2,8575;6,6073;1,3027;1,4645;2,2186;6,0062;6,6422;6,6468;6,6468;2,4813;6,5729;1,3082;1,3926;2,1763;5,6775;6,7004;6,7136;6,7136;2,361;6,4378;1,2961;1,3425;2,1104;5,4202;6,6791;6,6884;6,6884
2,7489;6,7285;1,2672;1,4919;2,2849;6,0874;6,7691;6,7718;6,7718;2,5248;6,5582;1,306;1,4095;2,1933;5,6656;6,6903;6,7036;6,7036;2,3157;6,4503;1,3128;1,4062;2,171;5,4704;6,6949;6,7037;6,7037
2,8036;6,6409;1,2755;1,4862;2,2313;5,9828;6,6895;6,6909;6,6909;2,4985;6,5645;1,3113;1,4406;2,1925;5,6838;6,6893;6,7026;6,7026;2,2659;6,5149;1,2994;1,4153;2,2167;5,4757;6,7788;6,7915;6,7915
2,7892;6,7876;1,256;1,4358;2,2773;6,1511;6,8186;6,8214;6,8214;2,4882;6,5849;1,3273;1,3981;2,2294;5,6865;6,7149;6,7283;6,7283;2,2717;6,5353;1,2793;1,3701;2,233;5,5335;6,7836;6,7946;6,7946
2,8369;6,7048;1,2556;1,465;2,2737;6,0953;6,7471;6,7499;6,7499;2,4832;6,5974;1,3183;1,413;2,1988;5,707;6,7219;6,7363;6,7363;2,2934;6,5289;1,2783;1,3758;2,2068;5,5563;6,7704;6,7822;6,7822
2,7776;6,7299;1,2888;1,4797;2,2895;6,062;6,7744;6,7781;6,7781;2,4797;6,5812;1,2909;1,3938;2,2033;5,7011;6,7044;6,7194;6,7194;2,3334;6,4545;1,2893;1,3749;2,1737;5,4572;6,6971;6,7078;6,7078
2,8732;6,7494;1,2877;1,5624;2,296;6,0821;6,7985;6,8004;6,8004;2,4659;6,617;1,2889;1,4252;2,1877;5,7159;6,7443;6,757;6,757;2,241;6,5137;1,2907;1,4531;2,212;5,5053;6,7766;6,7849;6,7849
2,783;6,7715;1,2777;1,5127;2,3253;6,1172;6,8119;6,8139;6,8139;2,492;6,5883;1,3084;1,4101;2,1966;5,6843;6,715;6,7316;6,7316;2,2878;6,4799;1,2965;1,4189;2,2096;5,4639;6,7388;6,752;6,752
2,783;6,7714;1,2745;1,5128;2,2836;6,1341;6,8119;6,8139;6,8139;2,492;6,5887;1,3059;1,4109;2,195;5,6857;6,715;6,7316;6,7316;2,2878;6,48;1,2852;1,3924;2,1489;5,5002;6,7388;6,752;6,752
2,783;6,7714;1,2753;1,4655;2,322;6,12;6,8119;6,8139;6,8139;2,492;6,5889;1,3075;1,3893;2,1816;5,676;6,715;6,7316;6,7316;2,2878;6,4801;1,301;1,3836;2,2011;5,4517;6,7388;6,752;6,752
2,783;6,7714;1,2652;1,5509;2,3152;6,124;6,8119;6,8139;6,8139;2,492;6,5886;1,3036;1,4497;2,2126;5,6877;6,715;6,7316;6,7316;2,2878;6,4796;1,2986;1,4243;2,2012;5,4666;6,7388;6,752;6,752
2,7536;6,7583;1,2571;1,5229;2,2723;6,14;6,8007;6,8067;6,8067;2,4763;6,5503;1,3129;1,4325;2,2072;5,6665;6,6843;6,6935;6,6935;2,3065;6,4913;1,2873;1,4026;2,2023;5,4561;6,7363;6,7436;6,7436
2,8302;6,8229;1,2601;1,5769;2,3372;6,2069;6,8741;6,8767;6,8767;2,5164;6,5632;1,3079;1,4248;2,1701;5,6621;6,6979;6,7094;6,7094;2,2488;6,5068;1,2925;1,4324;2,1675;5,4631;6,7763;6,7878;6,7878
2,7063;6,7524;1,2656;1,3998;2,276;6,1201;6,7998;6,8022;6,8022;2,4552;6,6031;1,3134;1,3575;2,2056;5,6967;6,7381;6,7486;6,7486;2,3186;6,5088;1,3248;1,4191;2,2479;5,4748;6,7489;6,7555;6,7555
2,7968;6,7291;1,3064;1,4729;2,2934;6,1104;6,7772;6,7799;6,7799;2,4939;6,5916;1,3298;1,4196;2,2457;5,6956;6,7204;6,7346;6,7346;2,2701;6,4983;1,2177;1,3178;2,1573;5,4909;6,7582;6,7669;6,7669
