Niche x MostPop;Niche x BPR;Niche x MF;Niche x PFM;Niche x NMF;Niche x WMF;Niche x PF;Niche x NeuMF;Niche x VAECF;Diverse x MostPop;Diverse x BPR;Diverse x MF;Diverse x PFM;Diverse x NMF;Diverse x WMF;Diverse x PF;Diverse x NeuMF;Diverse x VAECF;BestSeller x MostPop;BestSeller x BPR;BestSeller x MF;BestSeller x PFM;BestSeller x NMF;BestSeller x WMF;BestSeller x PF;BestSeller x NeuMF;BestSeller x VAECF
0,0017;0,0017;0,0007;0,0011;0,0005;0,0134;0,002;0,0011;0,0052;0,0089;0,0089;0,0013;0,0032;0,0004;0,0143;0,0085;0,008;0,014;0,013;0,0131;0,0011;0,0037;0,0001;0,0201;0,015;0,0121;0,0231
0,0023;0,0023;0,0003;0,0014;0,0005;0,0146;0,0027;0,0024;0,0051;0,0088;0,0089;0,0017;0,0027;0,0002;0,014;0,007;0,0084;0,014;0,0117;0,0115;0,0003;0,0032;0;0,0213;0,0112;0,0118;0,0218
0,0017;0,0017;0,0004;0,0004;0,0009;0,0139;0,0025;0,0016;0,0068;0,0079;0,0079;0,0012;0,002;0,0004;0,014;0,0081;0,0075;0,0142;0,0105;0,0105;0,0011;0,0017;0,0002;0,0191;0,0159;0,0116;0,021
0,0017;0,0019;0,0005;0,0012;0,0005;0,0116;0,0013;0,0021;0,0052;0,0081;0,0079;0,0012;0,0034;0,0004;0,0144;0,0081;0,0079;0,0144;0,0114;0,0114;0,0012;0,0031;0,0005;0,0211;0,0128;0,0111;0,0218
0,0016;0,002;0,0008;0,0007;0,0004;0,014;0,0016;0,0016;0,0075;0,0079;0,0082;0,0013;0,0025;0,0004;0,014;0,0072;0,0076;0,0143;0,0098;0,0101;0,0001;0,0043;0,0002;0,0205;0,0136;0,0091;0,0201
0,002;0,002;0,0002;0,0012;0,0005;0,0152;0,0022;0,0015;0,006;0,0083;0,0082;0,0013;0,0025;0,0002;0,0124;0,0077;0,0076;0,015;0,01;0,01;0,0007;0,0027;0,0003;0,0185;0,0117;0,0091;0,0203
0,0019;0,0019;0,0008;0,0014;0,0002;0,0148;0,0011;0,0023;0,0053;0,0083;0,0083;0,0011;0,0033;0,0005;0,0138;0,0082;0,0078;0,0148;0,0113;0,0115;0,001;0,0035;0,0001;0,0208;0,0175;0,0115;0,0244
0,0011;0,0011;0,0005;0,0005;0,0004;0,0132;0,0024;0,001;0,0058;0,0084;0,0084;0,0017;0,0019;0,0005;0,0136;0,0086;0,0081;0,0149;0,0082;0,0083;0,0008;0,0022;0;0,0181;0,0121;0,0085;0,0186
0,0021;0,0021;0,0004;0,001;0,0005;0,0145;0,0023;0,0019;0,0057;0,008;0,008;0,0015;0,0027;0,0003;0,0138;0,0075;0,0077;0,0141;0,0091;0,0094;0,0005;0,0022;0,0002;0,0181;0,0119;0,0109;0,0202
0,002;0,002;0,0003;0,0015;0,0002;0,0154;0,0028;0,0021;0,0057;0,0084;0,0084;0,0013;0,0024;0,0004;0,0119;0,0078;0,008;0,0133;0,0108;0,0107;0,0007;0,0034;0,0001;0,0187;0,0128;0,0109;0,0204
0,0016;0,0016;0,0004;0,0007;0,0002;0,0136;0,0029;0,0022;0,0059;0,008;0,0082;0,0015;0,0031;0,0003;0,0138;0,0079;0,0078;0,0141;0,0121;0,012;0,0006;0,0028;0;0,0205;0,0143;0,0115;0,0241
0,0017;0,0017;0,0004;0,0011;0,0002;0,0134;0,002;0,0011;0,0065;0,0089;0,0089;0,0013;0,0023;0,0005;0,014;0,0085;0,008;0,0139;0,013;0,013;0,0009;0,0021;0;0,0206;0,015;0,0121;0,0239
0,0017;0,0017;0,0004;0,0011;0,0004;0,0135;0,002;0,0011;0,0066;0,0089;0,0089;0,0012;0,002;0,0005;0,0133;0,0085;0,008;0,0146;0,013;0,0134;0,0011;0,0041;0;0,0184;0,015;0,0121;0,0216
0,0017;0,0017;0,0003;0,001;0,0005;0,0149;0,002;0,0011;0,0064;0,0089;0,0089;0,0011;0,0023;0,0004;0,0142;0,0085;0,0081;0,0153;0,013;0,0131;0,0015;0,0021;0,0002;0,0208;0,015;0,0121;0,0226
0,0017;0,0017;0,0005;0,0008;0,0002;0,014;0,002;0,0011;0,0054;0,0089;0,009;0,0014;0,0027;0,0002;0,0142;0,0085;0,008;0,0143;0,013;0,013;0,0011;0,0042;0,0003;0,0205;0,015;0,0116;0,0231
0,0012;0,0013;0,0008;0,0011;0,0007;0,0145;0,0025;0,0009;0,0082;0,0086;0,0085;0,0013;0,0031;0,0004;0,0131;0,0071;0,0082;0,0143;0,0108;0,011;0,0014;0,0039;0;0,0183;0,012;0,0097;0,0212
0,0023;0,0022;0,0006;0,0012;0,0004;0,0152;0,0021;0,0022;0,0053;0,0085;0,0086;0,0014;0,0024;0,0005;0,0134;0,0077;0,0081;0,0149;0,011;0,0113;0,0007;0,0039;0,0004;0,0189;0,0144;0,0112;0,0221
0,0017;0,0018;0,0004;0,0007;0,0003;0,0145;0,0023;0,0013;0,0062;0,0072;0,0073;0,0012;0,0023;0,0004;0,0136;0,008;0,0068;0,0149;0,0121;0,012;0,0007;0,0023;0,0001;0,0196;0,0131;0,0113;0,0214
0,0021;0,0021;0,0002;0,0007;0,0005;0,0136;0,0017;0,0016;0,0056;0,0093;0,0092;0,0012;0,002;0,0005;0,014;0,0085;0,0089;0,0144;0,012;0,0117;0,0014;0,0034;0,0001;0,0204;0,0155;0,0112;0,024
